number,values_0,values_1,params_lambda0,params_lambda1,user_attrs_ACC,user_attrs_BWT
0,-0.08988723158836365,0.014267033897340298,443.0375245218269,1398.196140899406,-0.08988723158836365,0.014267033897340298
1,-0.0706581175327301,0.006964215077459812,643.1172050131995,431.1710058685494,-0.0706581175327301,0.006964215077459812
2,-0.06727082530657451,0.011885048821568489,186.62266976517975,866.3279761354556,-0.06727082530657451,0.011885048821568489
3,-0.10705851515134175,0.018680160865187645,205.4762512591133,4734.98930449948,-0.10705851515134175,0.018680160865187645
4,-0.0701854129632314,0.0049766842275857925,7780.1555769014285,141.35935551752303,-0.0701854129632314,0.0049766842275857925
5,-0.08951938152313232,0.025461336597800255,2372.330072992193,386.08662714605475,-0.08951938152313232,0.025461336597800255
6,-0.07128041982650757,0.004924731329083443,505.9803874660433,5981.221901152558,-0.07128041982650757,0.004924731329083443
7,-0.05339368184407552,-0.019720464944839478,16.334587611069498,18.255254802399,-0.05339368184407552,-0.019720464944839478
8,-0.047920415798823036,-0.004905620589852333,11.498870747119451,3146.7304061660097,-0.047920415798823036,-0.004905620589852333
9,-0.04542285203933716,-0.009732350707054138,2160.0820741402063,4074.1446541662335,-0.04542285203933716,-0.009732350707054138
10,-0.0779126485188802,0.01243259571492672,8626.9052207149,2497.328610406058,-0.0779126485188802,0.01243259571492672
11,-0.07931940754254659,0.022084375843405724,242.34724484675937,2195.7734465394574,-0.07931940754254659,0.022084375843405724
12,-0.14784671862920126,0.04304829239845276,22.637229697395483,831.310113377874,-0.14784671862920126,0.04304829239845276
13,-0.0633187194665273,0.010390859097242355,26.919058249260694,6823.493012435796,-0.0633187194665273,0.010390859097242355
14,-0.12436336278915405,0.02771010622382164,367.7434662105215,175.38232373118052,-0.12436336278915405,0.02771010622382164
15,-0.13478457927703857,0.037116095423698425,62.18230782016854,2102.3308743480115,-0.13478457927703857,0.037116095423698425
16,-0.10812081893285115,0.0402354896068573,233.58825194833562,507.34320323943354,-0.10812081893285115,0.0402354896068573
17,-0.10591936111450195,0.013536625541746616,11.385953381489413,712.6995609048578,-0.10591936111450195,0.013536625541746616
18,-0.05774769186973572,-0.024273831397294998,685.9416411328702,709.2543214735832,-0.05774769186973572,-0.024273831397294998
19,-0.042688469092051186,-0.034062113612890244,6780.2270215798435,1110.352557719759,-0.042688469092051186,-0.034062113612890244
20,-0.048241108655929565,-0.020887937396764755,119.8184512601387,204.6896396312667,-0.048241108655929565,-0.020887937396764755
21,-0.06802903612454732,0.002246587537229061,1238.49308982564,15.159204611384714,-0.06802903612454732,0.002246587537229061
22,-0.07411737243334453,0.010950753465294838,1000.6913513545575,1027.8118224157008,-0.07411737243334453,0.010950753465294838
23,-0.05731213092803955,-0.0171651653945446,42.770830499620715,24.365700014642,-0.05731213092803955,-0.0171651653945446
24,-0.11458626389503479,0.06012894585728645,88.36597074694362,123.34805700860018,-0.11458626389503479,0.06012894585728645
25,-0.10470894972483318,0.04483930766582489,513.5589606500229,206.92098656538352,-0.10470894972483318,0.04483930766582489
26,-0.07698811093966167,0.007852325215935707,9228.29595742744,20.2364548436489,-0.07698811093966167,0.007852325215935707
27,-0.06892109413941701,0.022040676325559616,42.32824558620121,30.47393617736388,-0.06892109413941701,0.022040676325559616
28,-0.07734139760335286,0.021085627377033234,910.5944026265283,57.527408141166866,-0.07734139760335286,0.021085627377033234
29,-0.104734073082606,0.02020857110619545,250.5718725747769,54.10990556767875,-0.104734073082606,0.02020857110619545
30,-0.04425020515918732,-0.006837164983153343,29.985324349454395,21.43509553579854,-0.04425020515918732,-0.006837164983153343
31,-0.041022494435310364,-0.021606501191854477,931.0837957239845,25.97459914786605,-0.041022494435310364,-0.021606501191854477
32,-0.09495025873184204,0.015249010175466537,38.881864731536666,127.69547619045521,-0.09495025873184204,0.015249010175466537
33,-0.05719958742459615,-0.004925820045173168,2903.8868465087958,19.557071673386748,-0.05719958742459615,-0.004925820045173168
34,-0.04786656300226847,-0.025744212791323662,3264.635677523524,19.422056969726924,-0.04786656300226847,-0.025744212791323662
35,-0.04534961779912313,-0.015699177980422974,8499.20677174369,254.65581928924362,-0.04534961779912313,-0.015699177980422974
36,-0.055056835214296974,-0.024343276396393776,8516.933662231999,652.4339610666344,-0.055056835214296974,-0.024343276396393776
37,-0.06412297983964284,0.0066431425511837006,1651.1660035531809,13.108813258313509,-0.06412297983964284,0.0066431425511837006
38,-0.056983490784962974,-0.011890741065144539,70.53763390632231,22.939802981311868,-0.056983490784962974,-0.011890741065144539
39,-0.06145244836807251,0.002416926436126232,77.34292502064653,22.708223335487528,-0.06145244836807251,0.002416926436126232
40,-0.0408560186624527,-0.02413642220199108,89.93930726120072,174.89966737814592,-0.0408560186624527,-0.02413642220199108
41,-0.08870975176493327,0.019941724836826324,15.575517641504762,1195.1333297092365,-0.08870975176493327,0.019941724836826324
42,-0.12726444005966187,0.02697792276740074,500.96151379839364,62.54152586876391,-0.12726444005966187,0.02697792276740074
43,-0.05378653109073639,-0.022931840270757675,371.31642495346244,19.134694478070976,-0.05378653109073639,-0.022931840270757675
44,-0.04498596986134847,-0.01532285287976265,534.3668232660406,6136.045802294313,-0.04498596986134847,-0.01532285287976265
45,-0.13908262054125467,0.029043277725577354,90.30397288885933,1005.1506084660809,-0.13908262054125467,0.029043277725577354
46,-0.04482354720433553,-0.0169777050614357,24.853845095262,1409.2291316435578,-0.04482354720433553,-0.0169777050614357
47,-0.1254808008670807,0.0679219663143158,73.82751981499341,35.446559318532906,-0.1254808008670807,0.0679219663143158
48,-0.1016806165377299,0.012721356935799122,574.8291778269796,11.490069048873199,-0.1016806165377299,0.012721356935799122
49,-0.0463701585928599,-0.02822476252913475,3067.750867937877,10.32966955187974,-0.0463701585928599,-0.02822476252913475
