number,state,values_0,params_alpha1,params_alpha2,params_lam0,params_lam1,user_attrs_MAEs,user_attrs_R2s,user_attrs_acc_mae,user_attrs_acc_r2
0,COMPLETE,0.04884898662567139,1.7182530299244463,0.5590916175736835,46.23731686121693,102.84884180102394,"[0.019160939380526543, 0.06407353281974792, 0.06331247836351395]","[0.15432798862457275, -6.368342876434326, -17.08510398864746]",0.04884898662567139,-7.766372958819072
1,COMPLETE,0.04797622561454773,1.053525935878867,1.1986594557637242,1216.4035932129593,5195.081226569918,"[0.02286853827536106, 0.03710183873772621, 0.08395829051733017]","[-0.16358351707458496, -1.5139102935791016, -24.553611755371094]",0.04797622561454773,-8.743701855341593
2,COMPLETE,0.023874418810009956,0.8208678706499413,0.5478358851008884,22.05786049460658,11.727139962610622,"[0.03648097813129425, 0.00989760272204876, 0.02524467743933201]","[-1.6066901683807373, 0.5390077233314514, -5.734119415283203]",0.023874418810009956,-2.2672672867774963
3,COMPLETE,0.040094904601573944,1.4522117826568177,1.6203329339294774,60.82074496495042,5091.3298724306405,"[0.021360700950026512, 0.03410635516047478, 0.06481765955686569]","[-0.05202949047088623, -1.3849639892578125, -15.90909194946289]",0.040094904601573944,-5.782028476397197
4,COMPLETE,0.044785600155591965,0.8844015168874266,0.9693165483211097,16.03560642210483,35.700717035836625,"[0.019840940833091736, 0.04205428808927536, 0.0724615603685379]","[0.010010242462158203, -1.9367115497589111, -16.761316299438477]",0.044785600155591965,-6.229339202245076
5,COMPLETE,0.02846178598701954,0.7300657276928209,0.7637619918935334,17.59072002231231,14.65528710001758,"[0.018551846966147423, 0.02682299166917801, 0.040010519325733185]","[0.20503348112106323, -0.21356523036956787, -5.840611457824707]",0.02846178598701954,-1.9497144023577373
6,COMPLETE,0.0375620499253273,0.23755430642599484,1.3829355694375107,117.67788670202373,42.11362748016182,"[0.020209122449159622, 0.0268245879560709, 0.06565243750810623]","[0.12819206714630127, -0.8724352121353149, -17.037446975708008]",0.0375620499253273,-5.927230040232341
7,COMPLETE,0.0525212399661541,1.2912385792136958,1.3679088823558676,724.5164231592432,1369.6595240419806,"[0.02009403146803379, 0.0589497946202755, 0.07851988077163696]","[0.07975071668624878, -4.84674596786499, -20.26660919189453]",0.0525212399661541,-8.344534814357758
8,COMPLETE,0.04332495108246803,1.653261034865779,0.6851785606188909,1398.776680744349,419.82598624468693,"[0.034316543489694595, 0.026032863184809685, 0.06962545216083527]","[-1.4978673458099365, -0.4345850944519043, -19.12351417541504]",0.04332495108246803,-7.01865553855896
9,COMPLETE,0.03737572953104973,0.854322602729815,0.32128634062537165,1270.1963946018489,25.49510265389319,"[0.015644125640392303, 0.04217657446861267, 0.054306481033563614]","[0.3949868083000183, -2.0283167362213135, -12.571244239807129]",0.03737572953104973,-4.734858055909474
10,PRUNED,0.06878060102462769,0.24512973975719654,0.028240862406622047,5654.296816436623,134.00591428330264,,,,
11,COMPLETE,0.03861163556575775,0.5922530727541343,0.8520205618527255,10.054768252365276,10.337362511915556,"[0.015740081667900085, 0.05920925363898277, 0.040885571390390396]","[0.3958784341812134, -4.798542022705078, -6.743803977966309]",0.03861163556575775,-3.7154891888300576
12,PRUNED,-1.9172880053520203,0.5355314672501404,0.42224955602480563,29.316937896738285,14.75083859990296,,,,
13,PRUNED,-1.8500984907150269,0.6813973940446798,0.12510300266188779,180.20952430416023,85.49319306812252,,,,
14,PRUNED,-1.8426257371902466,1.1525782516095944,1.94805509102627,24.280096702236662,676.5959741929495,,,,
15,COMPLETE,0.030912673100829124,1.9386366991802124,0.7751074147392703,341.201043370943,11.508524570815805,"[0.03381069004535675, 0.02344256453216076, 0.03548475727438927]","[-1.271143913269043, -0.0864567756652832, -5.431061744689941]",0.030912673100829124,-2.262887477874756
16,PRUNED,-1.3571590781211853,0.42290232021042684,1.1065237866207653,78.78936282811833,58.87007864746221,,,,
17,PRUNED,-1.7413281798362732,0.0066704791073717296,0.3035795159685746,12.406041347902887,203.91291420953465,,,,
18,PRUNED,-1.6573833227157593,0.8299533246110324,0.5758200927868926,32.7933251524322,22.951157225879236,,,,
19,COMPLETE,0.04021168500185013,1.2351523343170445,0.9452794961675225,258.3179815267808,1831.6248098614892,"[0.01398787833750248, 0.042771268635988235, 0.06387590616941452]","[0.5264151692390442, -2.047769784927368, -13.655513763427734]",0.04021168500185013,-5.05895612637202
20,PRUNED,-1.4796381294727325,0.7216159838016639,0.4433089239924599,7233.624496519502,22.66721109016329,,,,
21,COMPLETE,0.03323959931731224,1.5444885945370337,0.7615275571723,551.4956030408345,10.88662174059003,"[0.03559936210513115, 0.02155889943242073, 0.04256053268909454]","[-1.2386062145233154, -0.03725016117095947, -7.921419143676758]",0.03323959931731224,-3.0657585064570108
22,COMPLETE,0.03141389787197113,1.9949284469467592,0.7617510865330022,130.41936131348265,18.23076112768884,"[0.04247311130166054, 0.01628858782351017, 0.035479992628097534]","[-2.064685583114624, -0.003365635871887207, -13.777484893798828]",0.03141389787197113,-5.281845370928447
23,PRUNED,-2.0256334841251373,1.9087247941567511,0.6134523485537092,19.515179272755464,51.93127593208433,,,,
24,PRUNED,-1.4439678490161896,1.0642104811735273,1.1093737918562008,3318.057148219223,12.736352979141238,,,,
25,COMPLETE,0.039909105747938156,1.3938113958323597,0.26520689902286715,354.7651127764502,33.56171860380494,"[0.06684677302837372, 0.027728106826543808, 0.025152429938316345]","[-6.197790145874023, -0.3956660032272339, -2.1220614910125732]",0.039909105747938156,-2.9051725467046103
26,PRUNED,-1.1087551712989807,0.41845195327975393,0.836574361599258,85.50012894999755,9703.086335868222,,,,
27,COMPLETE,0.044684652239084244,0.9940182896472598,0.4562331169827757,44.109283416850914,71.48841867793537,"[0.017924794927239418, 0.03875536099076271, 0.07737380266189575]","[0.13049155473709106, -1.48433518409729, -18.321617126464844]",0.044684652239084244,-6.558486918608348
28,COMPLETE,0.06796150654554367,1.785035918981768,0.17984839830579374,233.31770385801389,199.15049392187578,"[0.019276361912488937, 0.09961512684822083, 0.08499301970005035]","[0.09384560585021973, -15.527193069458008, -29.432226181030273]",0.06796150654554367,-14.955191214879354
29,PRUNED,-1.3213395774364471,0.7213636072358196,0.5400824004420917,46.00049909605044,16.769517139150217,,,,
30,PRUNED,-1.8114126324653625,0.43650237097357036,1.2740264058993573,131.0241298909781,107.31373356316297,,,,
31,COMPLETE,0.03366957604885101,1.9976201586867277,0.7195912979794403,457.59433822538057,20.719314562157027,"[0.030176496133208275, 0.02234300971031189, 0.04848921671509743]","[-0.7144887447357178, -0.0885695219039917, -9.737010955810547]",0.03366957604885101,-3.513356407483419
32,COMPLETE,0.037513066083192825,1.7787010746937488,0.8503860287324373,151.89428154149545,10.652064955928125,"[0.02147592417895794, 0.043120965361595154, 0.04794231429696083]","[-0.22990036010742188, -2.227036476135254, -10.92432975769043]",0.037513066083192825,-4.460422197977702
33,COMPLETE,0.043198611587285995,1.9126789924739802,0.6755069842137483,793.9461711589405,29.50213511239715,"[0.0284003596752882, 0.04460909217596054, 0.0565863735973835]","[-2.0599279403686523, -2.450479745864868, -10.526000022888184]",0.043198611587285995,-5.012135903040568
34,PRUNED,-2.0587156116962433,1.6176823604362724,0.9908721188310218,58.41893606884703,16.564336122125873,,,,
35,PRUNED,-1.6809764802455902,0.9736312931927815,1.1112832331465223,16.290784767094788,40.16803029920631,,,,
36,COMPLETE,0.03894313797354698,1.841459834430069,0.5404748670310445,31.498423576021256,16.777983236709247,"[0.04898139089345932, 0.023899270221590996, 0.04394875094294548]","[-3.222774028778076, -0.8587713241577148, -13.198554039001465]",0.03894313797354698,-5.760033130645752
37,PRUNED,-1.6121872663497925,1.3606841997056875,1.634227505663864,81.58301893009916,44.909872569094674,,,,
38,PRUNED,-1.7565926611423492,1.5195841634508516,0.7806367739628615,1722.384795950636,29.944629489589616,,,,
39,PRUNED,-2.2355072796344757,1.9981326818901934,0.9418033865061832,825.8497890922814,19.550775967358497,,,,
40,PRUNED,-2.1252954304218292,1.7018149684122683,0.6646472827963216,103.30167535630326,1756.523735535986,,,,
41,PRUNED,-2.065934658050537,1.5609999457981814,0.7827694825112582,519.1571431458499,12.650586400967725,,,,
42,PRUNED,-1.3864836394786835,0.8053091823852558,0.7516859219791283,338.70825841398465,10.660245275301486,,,,
43,PRUNED,-2.2591212391853333,1.875665127061694,0.9078458228907603,196.24437427155146,10.358032067943702,,,,
44,COMPLETE,0.023132391273975372,1.6698317794138928,0.40392782621731316,619.7602899284408,14.977671557509192,"[0.036219965666532516, 0.01323302648961544, 0.01994418539106846]","[-1.3040273189544678, 0.5270599126815796, -1.5937721729278564]",0.023132391273975372,-0.7902465264002482
45,PRUNED,-1.6432181596755981,0.6229322106912403,0.431895999385235,1623.1744109171393,32.014087471992625,,,,
46,COMPLETE,0.03638157621026039,1.7122046245270555,0.38127613654423287,1114.6969373193203,16.638813627967327,"[0.06343930214643478, 0.021415013819932938, 0.024290408939123154]","[-5.547736167907715, 0.10138976573944092, -3.436601161956787]",0.03638157621026039,-2.9609825213750205
47,COMPLETE,0.03364818915724754,0.9316016663936777,0.5101587315924779,22.702726798306543,25.29911942822877,"[0.016813265159726143, 0.03654201328754425, 0.04758928343653679]","[0.3370622396469116, -1.381868839263916, -8.439477920532227]",0.03364818915724754,-3.161428173383077
48,PRUNED,-2.118285834789276,1.0904345543950633,0.2207507334933007,10.583090791717128,60.544269317218145,,,,
49,PRUNED,-1.3861474692821503,0.5179743091508938,0.050901417524853776,2844.024346997988,3312.4462097770656,,,,
