number,state,values_0,params_alpha1,params_alpha2,params_lambda0,params_lambda1,user_attrs_avg_mae,user_attrs_mae_values
0,COMPLETE,0.05783969163894653,0.9010236001779337,1.2758398321450135,503.92579190089526,250.7575771405258,0.05783969163894653,"[0.02851063758134842, 0.05546443909406662, 0.08954399079084396]"
1,COMPLETE,0.02980363368988037,0.39373124489344313,0.15026792771866004,2236.5427593941486,45.99850567041929,0.02980363368988037,"[0.04417017847299576, 0.017021339386701584, 0.02821938320994377]"
2,COMPLETE,0.053723882883787155,1.367645861511918,1.6865643191235975,3464.7544855848314,1115.110379034792,0.053723882883787155,"[0.025815045461058617, 0.06803930550813675, 0.06731729954481125]"
3,COMPLETE,0.04721260070800781,1.3747751837266073,0.8982793281116048,1050.81311771896,74.42760907851105,0.04721260070800781,"[0.01489632111042738, 0.04810957983136177, 0.07863190770149231]"
4,COMPLETE,0.06565871089696884,1.6323693492068874,0.005009321702898806,101.89001073358848,216.95278397505612,0.06565871089696884,"[0.1130129024386406, 0.06379903107881546, 0.02016420289874077]"
5,COMPLETE,0.04793978109955788,1.1995372579669017,0.5662980754354023,4138.075680210594,145.09280067150743,0.04793978109955788,"[0.0633293017745018, 0.059189580380916595, 0.021300461143255234]"
6,COMPLETE,0.04296638071537018,0.6146696845215576,0.34316469317908327,12.111170870882564,1774.2803978660113,0.04296638071537018,"[0.06315066665410995, 0.0266631618142128, 0.03908531367778778]"
7,COMPLETE,0.02738708257675171,1.442604438665668,1.6520703438931246,28.68469834467899,5729.911783926728,0.02738708257675171,"[0.04380851611495018, 0.015383473597466946, 0.022969253361225128]"
8,COMPLETE,0.049663931131362915,1.2819339800778509,0.42045214616682247,73.04201544465984,155.3561065682571,0.049663931131362915,"[0.08719073981046677, 0.04099355265498161, 0.020807502791285515]"
9,COMPLETE,0.030818447470664978,1.8100965356891148,1.0477907700018962,2747.6097940573586,686.777781755081,0.030818447470664978,"[0.04194376617670059, 0.02187749743461609, 0.028634076938033104]"
10,COMPLETE,0.05337485671043396,1.9692670741913363,1.9047437707454717,16.14440573116013,9058.053018663702,0.05337485671043396,"[0.02382877841591835, 0.05639815330505371, 0.07989764213562012]"
11,COMPLETE,0.043994393199682236,0.12854898601543135,1.4976010878627493,121.64785975289519,13.553741444175495,0.043994393199682236,"[0.018736032769083977, 0.05820842832326889, 0.055038709193468094]"
12,COMPLETE,0.04297409579157829,0.02388674237960897,1.9982548170710537,906.6987317022849,33.1613556642608,0.04297409579157829,"[0.01886477880179882, 0.0611857995390892, 0.04887169599533081]"
13,COMPLETE,0.06379950791597366,0.481775773215821,0.013484195954007183,9980.366822160626,9371.805630672137,0.06379950791597366,"[0.09288175404071808, 0.04004427790641785, 0.058472491800785065]"
14,COMPLETE,0.027982430532574654,0.7871700749509369,0.7800025249110151,41.48636064506085,2553.624388517031,0.027982430532574654,"[0.03397861123085022, 0.012947669252753258, 0.03702101111412048]"
15,COMPLETE,0.04710673168301582,0.9466556075154977,0.7860486847668335,35.01978882425199,3386.635173178202,0.04710673168301582,"[0.01984415017068386, 0.04594523832201958, 0.07553081959486008]"
16,COMPLETE,0.030980980023741722,0.8343540710224606,1.2540375973745594,35.223783416196085,3240.8687039218817,0.030980980023741722,"[0.035660844296216965, 0.015510776080191135, 0.04177132248878479]"
17,COMPLETE,0.01544104516506195,1.5967913830605263,0.7224937140102906,215.95446197298435,588.671303985778,0.01544104516506195,"[0.013534746132791042, 0.015274479053914547, 0.017513908445835114]"
18,COMPLETE,0.04295416548848152,1.60696013822323,1.1756107953045034,239.08527177409465,573.363634397669,0.04295416548848152,"[0.02197706513106823, 0.04634910821914673, 0.06053632125258446]"
19,COMPLETE,0.04485642910003662,1.6025619162127511,1.5525421535022006,241.95573688994594,536.7168181448435,0.04485642910003662,"[0.020216651260852814, 0.04583965986967087, 0.06851298362016678]"
20,COMPLETE,0.02240350842475891,1.1397676649990292,0.6821478113367874,509.94772712934844,4732.274292379958,0.02240350842475891,"[0.022640999406576157, 0.014108710922300816, 0.030460814014077187]"
21,COMPLETE,0.05075450614094734,1.1326619888957419,0.6253521858827912,494.57507050332947,5364.126480354128,0.05075450614094734,"[0.016179382801055908, 0.05692906677722931, 0.07915506511926651]"
22,COMPLETE,0.04757961258292198,1.4896939715461428,0.9722486198455629,176.7193598297775,1242.7001552142253,0.04757961258292198,"[0.021207023411989212, 0.04845399409532547, 0.07307781279087067]"
23,COMPLETE,0.040748246014118195,1.0863937056336161,0.6406172065951827,465.45127437377334,5082.792989175217,0.040748246014118195,"[0.07085224986076355, 0.04016925394535065, 0.011223232373595238]"
24,COMPLETE,0.029081039130687714,1.8216713037680925,0.43365135547581857,62.4334239003022,1342.2788651459593,0.029081039130687714,"[0.047799840569496155, 0.011137383058667183, 0.028305893763899803]"
25,COMPLETE,0.04290967062115669,1.4737514290179325,1.0926840557249495,21.517489052466786,5527.156662048872,0.04290967062115669,"[0.017482545226812363, 0.05580917000770569, 0.05543729290366173]"
26,COMPLETE,0.03762112930417061,1.7730092785311873,1.369607585222,987.2060535639184,2379.8971210980894,0.03762112930417061,"[0.019044214859604836, 0.04091786593198776, 0.052901316434144974]"
27,COMPLETE,0.019036879763007164,1.9911919163020906,0.8612134900575287,139.0204997696069,452.61931345716215,0.019036879763007164,"[0.027335386723279953, 0.014186008833348751, 0.015589243732392788]"
28,COMPLETE,0.03200249373912811,1.884651371997936,0.8384157283450818,137.65357620852095,787.7741316353975,0.03200249373912811,"[0.01758994720876217, 0.031096450984477997, 0.047321077436208725]"
29,COMPLETE,0.030302708968520164,1.9657222492119082,0.2705235158221876,354.78218612853686,289.25121577290383,0.030302708968520164,"[0.049217551946640015, 0.01114442478865385, 0.030546147376298904]"
30,COMPLETE,0.04393669590353966,1.7223112205246374,0.541430830722533,1341.770631815961,458.6436436090597,0.04393669590353966,"[0.07660122215747833, 0.0389464870095253, 0.016262369230389595]"
31,COMPLETE,0.03178180009126663,1.4483619379603427,0.7252669860334429,600.5897389899063,391.2007942081431,0.03178180009126663,"[0.022511890158057213, 0.04151591658592224, 0.03131759166717529]"
32,COMPLETE,0.019519073888659477,1.2772778243745506,0.94490320491719,68.25129528393543,4417.508778730355,0.019519073888659477,"[0.030314017087221146, 0.016070814803242683, 0.012172387912869453]"
33,COMPLETE,0.026913829147815704,1.225192246735127,0.9557297526342903,78.54195154509104,914.0997250789668,0.026913829147815704,"[0.04746078699827194, 0.019731493666768074, 0.013549210503697395]"
34,COMPLETE,0.027593418955802917,1.0063133740618835,0.6955958750467663,185.51295498614803,81.30163548844328,0.027593418955802917,"[0.0263089369982481, 0.018129875883460045, 0.03834144398570061]"
35,COMPLETE,0.028327323496341705,1.3498067779187168,0.8925954576279284,55.50807709451998,1823.363685607605,0.028327323496341705,"[0.04153294861316681, 0.010899380780756474, 0.03254964202642441]"
36,COMPLETE,0.022953607141971588,1.0915110142663638,1.0835680005371129,309.51080143655884,127.96990611533369,0.022953607141971588,"[0.0413762703537941, 0.013009460642933846, 0.01447509415447712]"
37,COMPLETE,0.025729598477482796,1.671217309979077,0.4970154977427293,104.98513330413188,198.16281892237038,0.025729598477482796,"[0.019610706716775894, 0.025746174156665802, 0.03183191642165184]"
38,COMPLETE,0.030581584200263023,1.5694936851123895,0.901050155332889,1408.2513043536578,346.68140886450243,0.030581584200263023,"[0.01959947869181633, 0.029485268518328667, 0.042660001665353775]"
39,COMPLETE,0.04381685331463814,1.2908359007474794,0.2228643116918934,744.6294493363903,3704.4830484024765,0.04381685331463814,"[0.0628916323184967, 0.03733270242810249, 0.031226234510540962]"
40,COMPLETE,0.02457108162343502,0.7189524073359672,1.1763664121517743,334.5952951144714,1779.2253546495401,0.02457108162343502,"[0.019838137552142143, 0.016914289444684982, 0.036960821598768234]"
41,COMPLETE,0.027554454281926155,1.1143142596539632,1.0804892194361992,248.4069068074647,99.694258463673,0.027554454281926155,"[0.0424298532307148, 0.011145967058837414, 0.029087543487548828]"
42,COMPLETE,0.04330846294760704,1.0123391281884695,1.3974713429697516,151.7049387512341,36.63574744695602,0.04330846294760704,"[0.015208817087113857, 0.0547482855618, 0.05996828153729439]"
43,COMPLETE,0.02476404421031475,1.1754656993564663,1.0182363527154408,385.70993282776953,104.79779037445942,0.02476404421031475,"[0.023950351402163506, 0.021592402830719948, 0.02874937653541565]"
44,COMPLETE,0.03333979472517967,1.3309700620913703,0.8274969192919451,91.77657863927844,51.63219723775632,0.03333979472517967,"[0.048748284578323364, 0.013175031170248985, 0.03809606656432152]"
45,COMPLETE,0.03484378382563591,0.9078434188779445,1.1751408532756848,204.243781475395,203.53228834107085,0.03484378382563591,"[0.04585926607251167, 0.019700009375810623, 0.03897206857800484]"
46,COMPLETE,0.029800986871123314,1.055703509302006,0.6113027393287765,52.720212215702986,142.10913231706306,0.029800986871123314,"[0.05067870020866394, 0.015767063945531845, 0.022957194596529007]"
47,COMPLETE,0.02457396872341633,0.6009400965071645,0.6912042761192363,288.21169684510113,18.701559074291037,0.02457396872341633,"[0.015250492841005325, 0.03040507435798645, 0.028066342696547508]"
48,COMPLETE,0.06440513581037521,1.2531837457507014,0.923502594877361,620.8056525478253,7584.039305920252,0.06440513581037521,"[0.02633965201675892, 0.06672725826501846, 0.10014848411083221]"
49,COMPLETE,0.045677825808525085,1.3923790719292235,1.3061487264556024,134.70734945737118,52.961728632854914,0.045677825808525085,"[0.03133153170347214, 0.03326056897640228, 0.07244137674570084]"
